Asset,Time Period,Length of Return,Candle Pattern,Value,Avg % Return Following Pattern,Avg % Return In General,Avg Volume Following Pattern,Avg Volume In General,p-value Returns,p-value Volume,Occurrences
SPY,5y,2,Three-Line Strike,-200,,0.1224,,81803975,,,0
SPY,5y,2,Three-Line Strike,100,-0.0958,0.1215,58665950.0,81812563,1.0,1.0,1
SPY,5y,2,Three-Line Strike,200,,0.1224,,81803975,,,0
SPY,5y,2,Three Outside Up/Down,-100,1.0667,0.1024,94962607.0,81549707,0.06,0.24,21
SPY,5y,2,Three Outside Up/Down,100,-0.4473,0.1284,78379920.0,81842188,0.08,0.54,20
SPY,5y,2,Three Stars In The South,100,,0.1224,,81803975,,,0
SPY,5y,2,Three Advancing White Soldiers,100,0.0155,0.1216,70587100.0,81824654,0.67,0.46,4
SPY,5y,2,Abandoned Baby,-100,,0.1224,,81803975,,,0
SPY,5y,2,Abandoned Baby,100,,0.1224,,81803975,,,0
SPY,5y,2,Advance Block,100,,0.1224,,81803975,,,0
SPY,5y,2,Belt-hold,-100,0.2751,0.1225,83802036.0,81603203,0.41,0.52,79
SPY,5y,2,Belt-hold,100,0.2485,0.1088,74296655.0,82412668,0.39,0.02,108
SPY,5y,2,Breakaway,-100,2.0796,0.1214,72338650.0,81803851,1.0,1.0,1
SPY,5y,2,Breakaway,100,,0.1224,,81803975,,,0
SPY,5y,2,Closing Marubozu,-100,0.3328,0.0928,101196257.0,80289678,0.36,0.0,73
SPY,5y,2,Closing Marubozu,100,-0.0374,0.1174,80382744.0,81893447,0.33,0.66,143
SPY,5y,2,Concealing Baby Swallow,100,,0.1224,,81803975,,,0
SPY,5y,2,Counterattack,-100,0.1957,0.1185,93865275.0,81767925,0.88,0.87,2
SPY,5y,2,Counterattack,100,-0.3359,0.1256,81122238.0,81816641,0.58,0.96,4
SPY,5y,2,Dark Cloud Cover,100,,0.1224,,81803975,,,0
SPY,5y,2,Doji,100,0.0294,0.117,79206053.0,82353873,0.6,0.35,162
SPY,5y,2,Doji Star,-100,0.4687,0.1179,65522058.0,82120785,0.12,0.0,19
SPY,5y,2,Doji Star,100,-0.0061,0.1234,80634372.0,81824828,0.64,0.84,16
SPY,5y,2,Dragonfly Doji,100,-0.2236,0.1189,66163762.0,82140618,0.31,0.0,24
SPY,5y,2,Engulfing Pattern,-100,0.8895,0.1068,77964591.0,81832721,0.01,0.5,50
SPY,5y,2,Engulfing Pattern,100,0.086,0.1226,81708942.0,81914762,0.92,0.97,39
SPY,5y,2,Evening Doji Star,100,,0.1224,,81803975,,,0
SPY,5y,2,Evening Star,100,,0.1224,,81803975,,,0
SPY,5y,2,Up/Down-gap side-by-side white lines,-100,,0.1224,,81803975,,,0
SPY,5y,2,Up/Down-gap side-by-side white lines,100,-0.0358,0.1244,84946250.0,81813837,0.82,0.85,4
SPY,5y,2,Gravestone Doji,100,-0.5027,0.1244,93405200.0,81767972,0.57,0.51,15
SPY,5y,2,Hammer,100,0.0422,0.1195,73766732.0,81933241,0.81,0.19,17
SPY,5y,2,Hanging Man,100,,0.1224,,81803975,,,0
SPY,5y,2,Harami Pattern,-100,-0.0925,0.1335,83338843.0,81718581,0.41,0.77,52
SPY,5y,2,Harami Pattern,100,0.2452,0.1117,76429090.0,82001405,0.62,0.3,39
SPY,5y,2,Harami Cross Pattern,100,0.4512,0.1213,79270171.0,81885274,0.62,0.77,12
SPY,5y,2,High-Wave Candle,100,-0.01,0.1381,87968738.0,81256489,0.54,0.25,77
SPY,5y,2,Hikkake Pattern,-100,0.1377,0.1184,74145819.0,82277510,0.92,0.1,50
SPY,5y,2,Hikkake Pattern,-200,0.8663,0.1204,96402306.0,81694725,0.32,0.19,8
SPY,5y,2,Hikkake Pattern,100,0.2973,0.1298,88672980.0,81538371,0.65,0.41,38
SPY,5y,2,Hikkake Pattern,200,-0.1492,0.1195,69586404.0,81957860,0.59,0.1,13
SPY,5y,2,Modified Hikkake Pattern,-100,-0.1049,0.1218,82212550.0,81789135,1.0,1.0,1
SPY,5y,2,Modified Hikkake Pattern,-200,,0.1224,,81803975,,,0
SPY,5y,2,Modified Hikkake Pattern,100,,0.1224,,81803975,,,0
SPY,5y,2,Modified Hikkake Pattern,200,,0.1224,,81803975,,,0
SPY,5y,2,Homing Pigeon,100,0.3737,0.119,72437738.0,81914463,0.58,0.19,16
SPY,5y,2,Identical Three Crows,100,,0.1224,,81803975,,,0
SPY,5y,2,In-Neck Pattern,-100,-0.9544,0.124,83317262.0,81810199,0.19,0.9,4
SPY,5y,2,In-Neck Pattern,100,,0.1224,,81803975,,,0
SPY,5y,2,Inverted Hammer,100,0.0153,0.108,87198006.0,81763067,0.89,0.6,26
SPY,5y,2,Kicking,-100,,0.1224,,81803975,,,0
SPY,5y,2,Kicking,100,,0.1224,,81803975,,,0
SPY,5y,2,Kicking - bull/bear determined by the longer marubozu,-100,,0.1224,,81803975,,,0
SPY,5y,2,Kicking - bull/bear determined by the longer marubozu,100,,0.1224,,81803975,,,0
SPY,5y,2,Ladder Bottom,100,2.8686,0.1266,101969275.0,81771476,0.13,0.23,2
SPY,5y,2,Long Legged Doji,100,0.0294,0.117,79206053.0,82353873,0.6,0.35,162
SPY,5y,2,Long Line Candle,-100,0.4746,0.102,89417264.0,80932321,0.05,0.07,100
SPY,5y,2,Long Line Candle,-200,,0.1224,,81803975,,,0
SPY,5y,2,Long Line Candle,100,0.1812,0.1153,74611982.0,82827364,0.6,0.0,171
SPY,5y,2,Long Line Candle,200,,0.1224,,81803975,,,0
SPY,5y,2,Marubozu,-100,0.6478,0.1072,93303107.0,81508176,0.15,0.15,22
SPY,5y,2,Marubozu,-200,,0.1224,,81803975,,,0
SPY,5y,2,Marubozu,100,0.328,0.1118,78662222.0,81871157,0.43,0.61,46
SPY,5y,2,Marubozu,200,,0.1224,,81803975,,,0
SPY,5y,2,Matching Low,100,-0.084,0.1185,64575343.0,81985893,0.41,0.0,14
SPY,5y,2,Mat Hold,-100,,0.1224,,81803975,,,0
SPY,5y,2,Mat Hold,100,,0.1224,,81803975,,,0
SPY,5y,2,Morning Doji Star,100,0.0542,0.1235,106858600.0,81794148,1.0,1.0,1
SPY,5y,2,Morning Star,100,0.031,0.1194,114912958.0,81672875,0.89,0.26,6
SPY,5y,2,On-Neck Pattern,-100,-0.5032,0.1209,74392667.0,81841232,0.39,0.28,3
SPY,5y,2,On-Neck Pattern,100,,0.1224,,81803975,,,0
SPY,5y,2,Piercing Pattern,100,0.4697,0.1168,86247575.0,81698901,0.49,0.69,8
SPY,5y,2,Rickshaw Man,100,0.2057,0.1156,77600075.0,82284869,0.57,0.15,118
SPY,5y,2,Rising/Falling Three Methods,-100,,0.1224,,81803975,,,0
SPY,5y,2,Rising/Falling Three Methods,100,,0.1224,,81803975,,,0
SPY,5y,2,Separating Lines,-100,2.2295,0.1209,105481750.0,81756901,1.0,1.0,1
SPY,5y,2,Separating Lines,100,0.4362,0.1227,83238725.0,81817366,0.56,0.96,2
SPY,5y,2,Shooting Star,100,,0.1224,,81803975,,,0
SPY,5y,2,Short Line Candle,100,0.1619,0.1402,72960206.0,82752928,0.89,0.0,96
SPY,5y,2,Spinning Top,100,0.0028,0.1339,83909014.0,81516660,0.45,0.56,127
SPY,5y,2,Stalled Pattern,100,,0.1224,,81803975,,,0
SPY,5y,2,Stick Sandwich,100,1.4274,0.1218,116001400.0,81763838,0.33,0.0,2
SPY,5y,2,Takuri (Dragonfly Doji with very long lower shadow),100,-0.2616,0.1188,66258361.0,82115823,0.28,0.0,23
SPY,5y,2,Tasuki Gap,-100,0.1552,0.1221,80273950.0,81813021,1.0,1.0,1
SPY,5y,2,Tasuki Gap,100,0.0847,0.1182,79741450.0,81844587,0.95,0.75,8
SPY,5y,2,Thrusting Pattern,-100,0.6442,0.1271,83784220.0,81742530,0.24,0.86,10
SPY,5y,2,Thrusting Pattern,100,,0.1224,,81803975,,,0
SPY,5y,2,Tristar Pattern,-100,0.3234,0.1224,71449350.0,81819253,1.0,1.0,1
SPY,5y,2,Tristar Pattern,100,0.1759,0.1224,43382300.0,81835200,1.0,1.0,1
SPY,5y,2,Unique 3 River,100,-1.2764,0.1224,86809650.0,81815366,1.0,1.0,1
SPY,5y,2,Upside Gap Two Crows,100,,0.1224,,81803975,,,0
SPY,5y,2,Upside/Downside Gap Three Methods,-100,0.0961,0.1178,81058138.0,81783445,0.98,0.95,4
SPY,5y,2,Upside/Downside Gap Three Methods,100,0.8432,0.1217,90846400.0,81778706,1.0,1.0,1
SPY,5y,3,Two Crows,100,,0.1224,,81803975,,,0
SPY,5y,3,Three Black Crows,100,,0.1224,,81803975,,,0
SPY,5y,3,Three Inside Up/Down,-100,0.7945,0.1861,91280996.0,81647217,0.33,0.32,15
SPY,5y,3,Three Inside Up/Down,100,0.6784,0.1861,73089433.0,81942729,0.39,0.34,12
SPY,5y,3,Three-Line Strike,-100,3.036,0.1824,90026000.0,81826863,1.0,1.0,1
SPY,5y,3,Three-Line Strike,-200,,0.1834,,81845080,,,0
SPY,5y,3,Three-Line Strike,100,-1.4868,0.1828,70421767.0,81857890,1.0,1.0,1
SPY,5y,3,Three-Line Strike,200,,0.1834,,81845080,,,0
SPY,5y,3,Three Outside Up/Down,-100,1.0398,0.1549,93591260.0,81600152,0.06,0.25,21
SPY,5y,3,Three Outside Up/Down,100,-0.3341,0.1928,76987658.0,81907476,0.16,0.33,20
SPY,5y,3,Three Stars In The South,100,,0.1834,,81845080,,,0
SPY,5y,3,Three Advancing White Soldiers,100,0.6993,0.1839,67356075.0,81876386,0.13,0.2,4
SPY,5y,3,Abandoned Baby,-100,,0.1834,,81845080,,,0
SPY,5y,3,Abandoned Baby,100,,0.1834,,81845080,,,0
SPY,5y,3,Advance Block,100,,0.1834,,81845080,,,0
SPY,5y,3,Belt-hold,-100,0.3526,0.178,82595029.0,81683982,0.45,0.78,79
SPY,5y,3,Belt-hold,100,0.2069,0.1764,75086497.0,82480023,0.89,0.02,108
SPY,5y,3,Breakaway,-100,2.4915,0.1813,71243733.0,81844690,1.0,1.0,1
SPY,5y,3,Breakaway,100,,0.1834,,81845080,,,0
SPY,5y,3,Closing Marubozu,-100,0.7391,0.1546,98976683.0,80471058,0.1,0.0,73
SPY,5y,3,Closing Marubozu,100,-0.0398,0.2107,80422107.0,81932771,0.2,0.65,143
SPY,5y,3,Concealing Baby Swallow,100,,0.1834,,81845080,,,0
SPY,5y,3,Counterattack,-100,1.2135,0.1804,93153183.0,81824973,0.74,0.87,2
SPY,5y,3,Counterattack,100,-1.1036,0.1864,92122583.0,81855025,0.32,0.61,4
SPY,5y,3,Dark Cloud Cover,100,,0.1834,,81845080,,,0
SPY,5y,3,Doji,100,0.2431,0.181,80038152.0,82318986,0.72,0.49,162
SPY,5y,3,Doji Star,-100,0.5295,0.1773,67389654.0,82134113,0.28,0.01,19
SPY,5y,3,Doji Star,100,-0.1065,0.1857,83098217.0,81852349,0.42,0.84,16
SPY,5y,3,Dragonfly Doji,100,0.0151,0.187,68360507.0,82140056,0.57,0.0,24
